customer_id,company_name,contact_email,industry,plan_tier,region,signup_date,mrr,expansion_arr_ltm,last_login_days,support_tickets_90d,churn_risk_score
CUS-1000,Tidepool Inc,tidepool0@example.com,Retail,Pro,NA,2023-09-01,1232.68,6415.49,1,0,20.5
CUS-1001,Acme Analytics,acme1@example.com,Education,Pro,APAC,2023-03-01,1027.01,6309.35,14,0,20.1
CUS-1002,Mica Works,mica2@example.com,Healthcare,Free,NA,2023-11-01,0,0,3,1,84.5
CUS-1003,Helix Media,helix3@example.com,Manufacturing,Pro,APAC,2023-03-01,1211.43,6445.05,3,1,29.5
CUS-1004,Atlas Works,atlas4@example.com,Manufacturing,Starter,NA,2023-05-01,186.33,1061.73,90,2,62.9
CUS-1005,Nova Works,nova5@example.com,Retail,Starter,NA,2023-09-01,163.38,805.62,1,1,29.6
CUS-1006,Tidepool AI,tidepool6@example.com,Fintech,Starter,NA,2023-12-01,227.49,526.31,90,0,55.9
CUS-1007,Mica Labs,mica7@example.com,Healthcare,Free,NA,2023-04-01,0,0,7,8,96
CUS-1008,Stellar Logistics,stellar8@example.com,Media,Pro,NA,2023-07-01,1098.68,5658.87,7,0,29.4
CUS-1009,Argo Logistics,argo9@example.com,Media,Pro,EMEA,2023-01-01,1014.84,2955.87,1,0,12.7
CUS-1010,Forge Works,forge10@example.com,Media,Starter,NA,2023-06-01,174.87,65.36,1,1,24.2
CUS-1011,Harbor Analytics,harbor11@example.com,SaaS,Enterprise,LATAM,2023-01-01,5269.67,19113.67,7,0,15.8
CUS-1012,Acme Retail,acme12@example.com,Education,Pro,NA,2023-04-01,1055.58,4733.05,14,0,19.7
CUS-1013,Forge Media,forge13@example.com,Logistics,Starter,EMEA,2023-03-01,151.08,351.67,14,2,39.3
CUS-1014,Stellar Labs,stellar14@example.com,SaaS,Pro,APAC,2023-07-01,1005.95,2436.93,1,5,34.5
CUS-1015,Argo Capital,argo15@example.com,Healthcare,Free,LATAM,2023-01-01,0,699.74,1,1,71.3
CUS-1016,Linden Labs,linden16@example.com,SaaS,Starter,APAC,2023-06-01,205.69,811.39,7,0,18.3
CUS-1017,Orbit Retail,orbit17@example.com,Retail,Pro,NA,2023-07-01,1156.81,983.45,1,1,26.2
CUS-1018,Riverstone Cloud,riverstone18@example.com,Healthcare,Enterprise,EMEA,2023-03-01,5114.1,16118.78,1,2,22.2
CUS-1019,Linden Group,linden19@example.com,Media,Starter,LATAM,2023-05-01,180.34,1429.98,7,0,20.4
CUS-1020,Northwind Media,northwind20@example.com,Education,Starter,NA,2023-11-01,228.18,1216.44,21,0,31.0
CUS-1021,Halcyon Group,halcyon21@example.com,Media,Free,NA,2023-12-01,0,0,45,1,92.0
CUS-1022,Forge Capital,forge22@example.com,Retail,Free,EMEA,2023-06-01,0,0,3,2,83.2
CUS-1023,Stellar Inc,stellar23@example.com,Fintech,Starter,APAC,2023-12-01,150.56,250.62,45,5,48.4
CUS-1024,Riverstone Logistics,riverstone24@example.com,Healthcare,Starter,EMEA,2023-03-01,258.13,1290.42,21,0,27.0
CUS-1025,Atlas Health,atlas25@example.com,Manufacturing,Pro,EMEA,2023-04-01,1060.71,619.15,1,3,28.8
CUS-1026,Vector Capital,vector26@example.com,Education,Starter,EMEA,2023-02-01,222.13,1159.79,3,14,63.8
CUS-1027,Acme Inc,acme27@example.com,Media,Free,LATAM,2023-05-01,0,0,90,0,96
CUS-1028,Lumen Partners,lumen28@example.com,Retail,Pro,NA,2023-11-01,1234.66,5423.49,90,5,73.0
CUS-1029,Nova Capital,nova29@example.com,Healthcare,Pro,NA,2023-08-01,1177.85,4434.52,14,0,29.6
CUS-1030,Atlas Retail,atlas30@example.com,Media,Starter,APAC,2023-08-01,184.48,577.78,3,0,20.8
CUS-1031,Halcyon Bank,halcyon31@example.com,Fintech,Pro,NA,2023-10-01,1007.11,1277.31,1,0,28.1
CUS-1032,Helix Capital,helix32@example.com,Healthcare,Starter,APAC,2023-01-01,211.0,1862.04,45,3,53.2
CUS-1033,Mica Cloud,mica33@example.com,Education,Free,LATAM,2023-10-01,0,0,7,1,81.7
CUS-1034,Hexagon Bank,hexagon34@example.com,Logistics,Pro,APAC,2023-09-01,1131.84,4740.63,7,2,34.2
CUS-1035,Harbor Bank,harbor35@example.com,Logistics,Pro,NA,2023-05-01,1188.47,2155.38,1,0,14.8
CUS-1036,Lumen Inc,lumen36@example.com,SaaS,Starter,EMEA,2023-03-01,200.99,422.72,1,5,36.6
CUS-1037,Polaris Labs,polaris37@example.com,Manufacturing,Starter,NA,2023-03-01,226.45,978.1,3,1,22.4
CUS-1038,Nova Logistics,nova38@example.com,SaaS,Pro,APAC,2023-09-01,1315.31,6441.62,1,1,29.3
CUS-1039,Atlas Labs,atlas39@example.com,Media,Starter,NA,2023-09-01,224.0,336.58,21,1,35.4
CUS-1040,Orbit Works,orbit40@example.com,Education,Pro,APAC,2023-03-01,1261.35,891.24,1,2,27.4
CUS-1041,Lumen AI,lumen41@example.com,Media,Pro,NA,2023-08-01,1207.55,2028.21,7,5,35.8
CUS-1042,Reef Systems,reef42@example.com,Healthcare,Pro,APAC,2023-04-01,996.03,4573.35,90,3,62.6
CUS-1043,Fjord Logistics,fjord43@example.com,Manufacturing,Free,EMEA,2023-01-01,0,0,21,2,88.4
CUS-1044,Vale Analytics,vale44@example.com,Media,Pro,LATAM,2023-07-01,1140.04,3647.4,90,0,55.2
CUS-1045,Mica AI,mica45@example.com,SaaS,Starter,EMEA,2023-09-01,159.7,688.03,14,0,17.8
CUS-1046,Lumen Inc,lumen46@example.com,Education,Pro,EMEA,2023-04-01,1212.56,3213.81,1,2,23.3
CUS-1047,Zephyr Works,zephyr47@example.com,Logistics,Pro,NA,2023-12-01,1078.58,1577.91,1,0,21.0
CUS-1048,Mica Health,mica48@example.com,Fintech,Free,APAC,2023-06-01,0,0,1,0,70.3
CUS-1049,Acme Health,acme49@example.com,Fintech,Starter,LATAM,2023-12-01,225.98,778.39,1,0,20.1
CUS-1050,Hexagon Group,hexagon50@example.com,Retail,Starter,APAC,2023-08-01,219.6,87.85,1,1,20.3
CUS-1051,Riverstone Inc,riverstone51@example.com,SaaS,Pro,APAC,2023-03-01,1224.07,6005.19,3,1,17.2
CUS-1052,Vale Inc,vale52@example.com,Education,Pro,NA,2023-06-01,969.37,969.7,7,0,18.5
CUS-1053,Reef Partners,reef53@example.com,Logistics,Free,NA,2023-05-01,0,0,7,2,90.3
CUS-1054,Juniper Group,juniper54@example.com,Healthcare,Free,APAC,2023-07-01,0,0,7,1,82.4
CUS-1055,Halcyon Cloud,halcyon55@example.com,Manufacturing,Pro,NA,2023-03-01,1332.21,4137.94,14,0,18.2
CUS-1056,Mica Group,mica56@example.com,Logistics,Starter,EMEA,2023-06-01,189.53,649.68,3,0,23.9
CUS-1057,Argo Group,argo57@example.com,Manufacturing,Starter,EMEA,2023-02-01,230.96,567.25,90,1,59.2
CUS-1058,Acme Logistics,acme58@example.com,Logistics,Starter,NA,2023-12-01,213.46,444.23,1,0,26.5
CUS-1059,Polaris Inc,polaris59@example.com,Retail,Enterprise,EMEA,2023-04-01,5257.3,388.21,21,0,35.6
CUS-1060,Tidepool Capital,tidepool60@example.com,Fintech,Starter,APAC,2023-09-01,212.62,553.98,1,0,22.0
CUS-1061,Vale Media,vale61@example.com,Fintech,Enterprise,NA,2023-03-01,4674.01,8284.52,21,1,34.0
CUS-1062,Argo Group,argo62@example.com,Logistics,Starter,NA,2023-12-01,213.58,1075.89,1,0,26.1
CUS-1063,Fjord Labs,fjord63@example.com,Manufacturing,Pro,APAC,2023-01-01,1096.74,4860.79,1,1,24.8
CUS-1064,Argo Inc,argo64@example.com,Logistics,Free,LATAM,2023-01-01,0,643.22,90,0,96
CUS-1065,Tidepool Inc,tidepool65@example.com,Manufacturing,Enterprise,APAC,2023-01-01,5693.1,27282.3,7,0,25.8
CUS-1066,Vector Systems,vector66@example.com,Healthcare,Starter,NA,2023-07-01,216.58,2843.09,3,0,15.5
CUS-1067,Alluvia Cloud,alluvia67@example.com,Fintech,Free,NA,2023-01-01,0,614.02,3,0,68.4
CUS-1068,Boreal AI,boreal68@example.com,Media,Pro,NA,2023-05-01,1337.93,2161.34,7,0,30.8
CUS-1069,Argo AI,argo69@example.com,Healthcare,Starter,EMEA,2023-07-01,223.11,1178.22,7,2,32.7
CUS-1070,Orbit Media,orbit70@example.com,Logistics,Pro,LATAM,2023-03-01,1156.91,3977.15,14,2,37.0
CUS-1071,Tidepool Inc,tidepool71@example.com,Retail,Starter,EMEA,2023-12-01,188.48,300.36,1,1,30.9
